PERSON_ID,NAME,DURATION,INTERACTION,COUNTERPART_ID,COUNTER_PART_NAME,TIME,MESSAGE,SENTIMENT_RESULT,P(POSITIVE),P(NEUTRAL),P(NEGATIVE),
PERSON_0000000000,Matthew Chapman,14.5074654107709,INTERACTION_0000000003,PERSON_0000000181,Derrick Daniels,2022-01-01 00:59:44,Determine industry in establish move week successful number audience position.,positive,0.58,0.38,0.03,
PERSON_0000000001,Jennifer Martin,94.9793142418842,INTERACTION_0000000001,PERSON_0000000995,Tony Hardy,2022-01-01 00:35:58,On always than fight article never agent build reduce main fill public.,negative,0.04,0.43,0.53,
PERSON_0000000002,Nicholas Ochoa,85.2958032064321,INTERACTION_0000000001,PERSON_0000000144,Danielle Miller,2022-01-01 00:36:19,Five red though bank and memory participant if.,neutral,0,0.98,0.02,
PERSON_0000000003,Bryce Finley,43.4782255717314,INTERACTION_0000000001,PERSON_0000000316,Stephanie Reed,2022-01-01 00:28:40,Pressure nothing expect memory air fish miss clearly threat.,negative,0.01,0.04,0.96,
PERSON_0000000004,Justin Barr,62.4917850910993,INTERACTION_0000000001,PERSON_0000000387,Andrea Davis MD,2022-01-01 00:05:39,Realize chair recent management think near rest.,neutral,0.25,0.39,0.36,
PERSON_0000000005,Kaitlyn Hodge,5.64994646403502,INTERACTION_0000000003,PERSON_0000000859,Tyler Stone,2022-01-01 00:47:20,Early rock tend throw environment generation president this.,neutral,0.02,0.86,0.11,
PERSON_0000000006,Sharon Rush,158.356775946215,INTERACTION_0000000001,PERSON_0000000364,Shane Larson,2022-01-01 00:32:28,Course office kind physical off person find throw order go player.,neutral,0.33,0.38,0.29,
PERSON_0000000007,Sarah Rodriguez,2.09101579273268,INTERACTION_0000000001,PERSON_0000000188,Dr. Rhonda Chen,2022-01-01 00:53:31,We green eight yeah husband week water every policy why nearly prove.,neutral,0.04,0.9,0.06,
PERSON_0000000008,Robert Bell,114.833349922083,INTERACTION_0000000000,INTERACTION_0000000000,Samuel Lindsey,2022-01-01 00:31:23,Town investment join course value network city ten art goal office base and.,neutral,0.01,0.98,0.01,
PERSON_0000000009,Isaiah Montoya,118.999245414625,INTERACTION_0000000001,PERSON_0000000488,Joshua Thomas,2022-01-01 00:25:59,We option turn coach face everyone region agency forget paper sea kid off.,negative,0.02,0.49,0.49,
PERSON_0000000010,Bryan Murray,15.2280575256959,INTERACTION_0000000001,PERSON_0000000863,Jason York,2022-01-01 00:10:23,Picture describe card too including year just agree organization different strong address.,positive,0.46,0.4,0.13,
PERSON_0000000011,Michael Wright,16.3139036443322,INTERACTION_0000000000,PERSON_0000000342,Nancy Franklin,2022-01-01 00:00:38,Side to who forget word community teach at front.,negative,0.04,0.09,0.88,
PERSON_0000000012,Christina Gibson,33.619771623214,INTERACTION_0000000003,PERSON_0000000400,Nicole Casey,2022-01-01 00:19:04,Play effort letter guy inside ability phone get front space.,neutral,0.11,0.85,0.04,
PERSON_0000000013,Michele Castro,1.56589384226219,INTERACTION_0000000000,PERSON_0000000668,Jessica Moreno,2022-01-01 00:48:47,Nothing sport oil unit argue son personal run.,neutral,0.06,0.54,0.4,
PERSON_0000000014,Nicholas Herrera,76.2450324423343,INTERACTION_0000000001,PERSON_0000000739,Christine Bartlett,2022-01-01 00:36:46,Give model follow year although no.,neutral,0.01,0.96,0.03,
PERSON_0000000015,Richard Thomas,12.3746376859803,INTERACTION_0000000003,PERSON_0000000208,Tiffany Brown,2022-01-01 00:23:08,Central act land customer right role.,positive,0.97,0.02,0.01,
PERSON_0000000016,Michele Hudson,4.54718992880409,INTERACTION_0000000000,PERSON_0000000482,Drew White,2022-01-01 00:08:06,Say help since against knowledge upon create.,positive,0.8,0.09,0.1,
